sample_index,RA,EIS,PRTP,growth,terminal_rho,terminal_beta_5yr,terminal_growth_5yr,terminal_multiplier,terminal_margin,terminal_admissible
6897,6.320365022281732,0.9139643812489786,0.007469268458270639,0.021681471803031392,-0.09413454234775465,0.9632074058582907,1.1132112525182176,0.9535319580823345,0.046468041917665515,True
6898,7.936480443733108,0.8221365198669188,0.009053979461138223,0.018158099732455992,-0.2163429988025254,0.9555424597150398,1.0941480803268762,0.937122032325792,0.06287796767420795,True
6899,4.724790361810801,0.9008823259085676,0.009317183865247295,0.013313208478271816,-0.11002288671993776,0.9542741291957344,1.068362211615295,0.9473565360350976,0.05264346396490238,True
6900,4.802372584811192,1.032531689985705,0.008083523880519635,0.013590446898671376,0.031506723039324336,0.9602305534489545,1.0698245095859236,0.9622746895084052,0.03772531049159478,True
6901,7.038963993827535,0.799788113991725,0.0062535332659061,0.01238686393557162,-0.2503311595980364,0.9691209625415083,1.0634877873717572,0.9543023827228932,0.04569761727710675,True
6902,8.727185218519006,0.9417642673314043,0.0034916266598881657,0.01686639207869911,-0.06183684674468837,0.9826633563303655,1.0872250989061176,0.9775947935867854,0.02240520641321464,True
6903,8.24407954786276,0.8807193366469945,0.003176175729905848,0.015788129419181365,-0.13543549958505663,0.98421968236613,1.0814729633333378,0.9738344120131228,0.02616558798687718,True
6904,13.009829248825728,1.2697471173377757,0.0013468400383346104,0.010342691670611193,0.21244160640690635,0.9932839151742804,1.0527942921043376,1.0041997210138405,-0.004199721013840474,False
6905,3.5671325387177815,1.595852271199547,0.0010125781679268088,0.0148678265077975,0.3733755824100595,0.9949473519289718,1.076582765903931,1.0227413752832089,-0.022741375283208853,False
6906,6.149737732002187,1.4509214495958864,0.006986755899823439,0.01517417263833405,0.31078281303338506,0.9655509694106895,1.0782086236061545,0.988413509650543,0.011586490349457024,True
6907,4.868704862060518,0.6674401242264347,0.006599172092435058,0.019505023642898488,-0.4982617371992779,0.9674367658527472,1.1014045102782977,0.9219812251975011,0.07801877480249886,True
6908,10.750502385116189,0.8748153770883781,0.00870300460559971,0.016947548473141987,-0.14309833387733772,0.9572358366432816,1.0876590268781217,0.9457947409755759,0.05420525902442408,True
6909,9.530556033986258,0.8850494554240098,0.005483844796343648,0.022070211109017808,-0.12988036303679729,0.9728798569404447,1.1153306919916388,0.9591850648548035,0.04081493514519652,True
6910,7.214770896277497,0.6831563260913823,0.00884455814705215,0.015581786309910623,-0.46379380795814384,0.9565525831329557,1.0803749791947628,0.9228629173827976,0.07713708261720242,True
6911,6.479245035692913,0.86176462577076,0.010103359180723023,0.010383477753457198,-0.16040966418829594,0.9504937214643902,1.0530068082264015,0.9426513081395277,0.05734869186047231,True
6912,5.4502180948261465,0.9024109564504309,0.013759647312783807,0.0116771529803767,-0.10814257390383264,0.9330691702593426,1.0597653395881697,0.9272302613812954,0.07276973861870462,True
6913,7.194977961510824,0.9577509190454293,0.007281366843238112,0.0165127590625503,-0.04411280648697202,0.9641195023919592,1.0853359059472423,0.9606430222525079,0.03935697774749214,True
6914,5.395137636908945,0.7487488748495292,0.004268746541870253,0.016450392136775238,-0.3355612723971879,0.978837713060455,1.0850029993613193,0.952404508910433,0.047595491089566955,True
6915,4.9242187662753505,0.8953694676115338,0.009574410456556725,0.020594096871196167,-0.11685738253681599,0.9530359062105496,1.1072998987251392,0.9417519775023214,0.058248022497678575,True
6916,8.722296062832253,1.4099806948124332,0.004046807697921125,0.012637306071503124,0.29077043134053127,0.9799290666440866,1.0648038552180812,0.9979845951231744,0.0020154048768256105,True
6917,7.152117811707909,0.6168639597575154,0.007518993989582048,0.015090168656894512,-0.6211029744598671,0.9629661478317958,1.0777625975388065,0.9192017048164339,0.08079829518356607,True
6918,5.835565473944941,1.2396338614344589,0.014268376616600952,0.017893510718580627,0.19331019334786748,0.9306651407770683,1.092727136290166,0.9467561977341908,0.05324380226580916,True
6919,6.0015521772558875,1.1104900146825871,0.007669906618092139,0.020706705137791548,0.09949663051600566,0.9622342468498278,1.1079109087312409,0.9720954072675857,0.0279045927324143,True
6920,4.515721897019721,1.047809584288788,0.0024053186807291094,0.022266826986135652,0.0456281227101385,0.9880311231820896,1.1164038868980457,0.9930077160244426,0.006992283975557401,True
6921,6.679788877749637,0.8659128608686097,0.008859955688018643,0.011198135271633856,-0.1548506151033322,0.9564782855033609,1.0572587797572828,0.9482669747146526,0.0517330252853474,True
6922,8.984114273603248,1.2935611612323323,0.009188593837316615,0.016980573896444928,0.22694030250001207,0.9548936110039646,1.0878356472600443,0.9733133288627465,0.026686671137253537,True
6923,12.627195176453668,1.4682407035419296,0.017942246795130744,0.01728944878916787,0.31891276574226757,0.9134507641034327,1.0894886251575981,0.9387629428566071,0.06123705714339289,True
6924,9.88126053817378,0.73485552880641,0.00560214621585121,0.012920552097681752,-0.3608116980820042,0.9723013560823206,1.0662938765153027,0.9500414949400016,0.04995850505999844,True
6925,8.947463628594681,0.5511988741597253,0.007313037311887902,0.015041910456377768,-0.8142272179427963,0.9639657218177253,1.077506433406278,0.907119386976647,0.09288061302335304,True
6926,7.3635424765356,0.7131887799026602,0.007547314198961674,0.011151504471457184,-0.4021532982283953,0.9628287656227387,1.0570150279423418,0.9415962889387349,0.05840371106126507,True
6927,7.809291712539158,0.7802045659361181,0.0014962452918025632,0.01294003141916026,-0.2817151342868178,0.9925411275685809,1.066396409137724,0.974727902911679,0.02527209708832101,True
6928,3.9685391406601425,0.7458253952172925,0.00593913983068044,0.015610026001958231,-0.34079639338193224,0.9706549459440739,1.0805251943418066,0.9453708784321702,0.05462912156782984,True
6929,4.314810151002625,1.159158234523094,0.003468681017080478,0.011622047366331182,0.13730501132882478,0.9827764957749338,1.059476746245825,0.9906036873623912,0.009396312637608761,True
6930,5.489782546460909,0.935562690339351,0.004681949884935746,0.016397037871838705,-0.068875458936136,0.9768084332088288,1.0847182660338557,0.9713526493048523,0.028647350695147678,True
6931,4.842607806684152,0.6094526886574574,0.009498615397837792,0.020426042189472353,-0.6408164548471613,0.9534006305780889,1.106388539061041,0.8935907786905978,0.10640922130940222,True
6932,5.053400239967397,1.2125623196837063,0.006168110617576026,0.018942093567229146,0.1753001196170706,0.9695375633324428,1.0983671078421644,0.9856158633445915,0.014384136655408497,True
6933,5.836915970253963,1.0199733851323127,0.0039009573417969033,0.016503660975117653,0.019582261089804542,0.9806467955028519,1.0852873364427253,0.9822197439741119,0.017780256025888064,True
